"T161504"|||||||||1
"T161505"|||||||||4
"T161506"|||||||||1
"T161508"||1|||||||
"T161511"||1|||||||
"T161516"||||||1|||
"T161518"||1|||||||
"T161521"|||||||||1
"T161522"||||||1|||4
"T161523"||||||1|||
"T161524"||1|||||||
"T161602"|||||||||6
"T161603"|||||||||1
"T161604"|||||||||1
"T161901"||1|||||||
"T161904"||2|||||||
"T161906"||1|||||||
"T161907"|||4|||2||1|
"T161908"||2|||||||
"T161909"||2|||||||
"T161910"||2|||||||
"T161911"|||||||||4
"T161912"||||||2|||2
"T161913"||2||||1|||
"T161920"|||||||||1
"T161921"|||1||||||4
"T162101"||1|||||||
"T162102"||1|||||||
"T162103"||1|||||||
"T162104"||1|||||||
"T162106"||||||1|||
"T162110"||2|||||||
"T162111"|||||||||2
"T162112"||1|||||||1
"T162116"||1|||||||
"T162117"|||1||||||
"T162118"|||||||||2
"T162119"|||||||||1
"T162121"||3|||||||
"T162123"||||||1|||
"T162125"||||||1|||
"T162128"||||||1|||
"T162133"|||||||||1
"T162135"||1|||||||
"T162139"||1|||||||
"T162140"||1|||||||
"T162141"||2||||1|||
"T162150"||1|||||||1
"T162151"||1|||||||
"T162401"||||||1|||
"T162402"||1|||||||
"T162403"||1|||||||
"T162404"||1|||||||
"T162405"||3||||1|||
"T162407"||3|||||||
"T162412"||1|||||||
"T162450"||2|||||||13
"T162451"|||5||||||
"T162452"||||||2|||
"T162453"||||||1|||2
"T162454"||1|3||||||
"T162455"||10|||||||23
"T162456"||||||2|||
"T162465"|||||||||1
"T162466"|||||||||2
"T162468"||1|||||||
"T162604"|||||||||2
"T162605"||3|1||||||
"T162607"||4|||||||7
"T162611"||1|||||||
"T162701"|||||||||3
"T162702"||1|||||||6
"T162713"||1|||||||2
"T162714"|||||||||3
"T163001"|||||||||1
"T163003"|||||||||2
"T163004"||1|||||||1
"T163005"|||||||||1
"T163006"|||||||||2
"T163007"|||||||||1
"T163008"|||||||||2
"T163009"||||||1|||1
"T163010"||||||4|||6
"T163011"||||||1|||
"T163012"||1|||||||1
"T163013"||2||||4|||5
"T163014"||||||2|||
"T163016"|||||||||4
"T163017"||1|||||||2
"T163018"||2||||2|||3
"T163019"||||||1|||2
"T163020"||||||1|||
"T163021"||1||||2|||2
"T163022"|||||||||2
"T163023"||1|||||||2
"T163026"|||||||||1
"T163102"|||||||||2
"T163103"|||||||||1
"T163301"|||||||||1
"T163302"|||||||||1
"T163304"||||||||2|1
"T163305"|||||||||2
"T163306"|||||||||1
"T163308"||1|||||||
"T163309"|||||||||4
"T163310"||1|||||||
"T163311"|||||||||1
"T221505"||3|||||||
"T221715"||1|||||||
"T239701"|||||||||1
"T239702"||1|||||||2
"T239703"||1|||||||2
"T239707"|||||||||2
"T239727"|||||||||1
"T239731"|||||||||1
"T260001"|||||||||1
"T260002"|||||||||1
"T280104"||1|||||||
"T280105"||2|||||||
"T280108"||||||1|||
"T280109"||2|||||||
"T280202"|||1||||||
"T280205"|||||||||1
"T280206"||3|||||||
"T280209"||1|||||||
"T280211"|||||||||1
"T280212"||1|||||||
"T280218"||1|||||||
"T280219"||1|||||||
"T280220"|||||||||1
"T280221"||1|||||||
"T280224"|||||||||1
"T280304"||1|||||||
"T280306"||3|||||||
"T280308"||3|||||||
"T280312"|||||||||1
"T280315"||1|||||||
"T280325"||1|||||||
"T280327"||1|||||||
"T280328"||2|||||||
"T280343"||1|||||||
"T280345"||1|||||||
"T280352"||1|||||||
"T280401"||1|||||||
"T280402"||1|||||||
"T280404"|||||||||2
"T280409"||1|||||||
"T280411"||2|||||||
"T280412"||2|||||||
"T280414"||2|||||||
"T280415"||6|||||||1
"T280418"||2|||||||
"T280419"||2|||||||
"T280420"||4|||||||1
"T280421"||1|||||||
"T280423"||2|||||||
"T280424"||1|||||||
"T280425"||2|||||||
"T280432"||1|||||||1
"T280434"||1|||||||
"T280436"||1|||||||
"T280440"||1|||||||
"T280445"||1|1||||||
"T280446"||3|||||||
"T280447"||1|||||||
"T280450"||1||||2|||4
"T280451"||1|||||||
"T280452"||1|||||||
"T280453"||1|||||||1
"T280459"||3|||||||
"T280460"|||||||||2
"T280461"|||||||||2
"T280462"|||||||||1
"T280463"||2|||||||
"T280464"||||||1|||
"T280465"||4|||||||
"T280466"||1|||||||
"T280471"||||||1|||
"T280473"||||||||1|
"T280474"||1|||||||
"T280475"||1|||||||
"T280477"||1|||||||
"T280479"|||||||||2
"T280481"||1|||||||
"T280482"||1|||||||
"T280487"|||||||||2
"T280488"||1|||||||
"T280492"||2|||||||
"T280494"||2|||||||
"T280497"||1|||||||
"T280605"||1|||||||1
"T280607"|||||||||1
"T280608"|||||||||2
"T280610"|||||||||1
"T280615"||2|||||||1
"T280618"||2|||||||
"T280619"||1|||||||
"T280701"||2|1|||2||1|1
"T280702"|||1|||1|||
"T280703"||1|||||||
"T280707"||1|||||||
"T280708"||1|||||||
"T280712"||1|||||||
"T280801"||2|||||||3
"T280803"||11||||||1|
"T280804"||6|||||||
"T280805"||16|1|||||3|
"T280806"||4|||||||
"T280807"||14||||1||1|2
"T280809"||1|||||||
"T280810"||3|||||||2
"T280812"||1|||||||
"T280813"||1|||||||
"T280815"||7|1||||||
"T280816"||5|||||||
"T280818"||7|1|||1|||1
"T280819"||1|||||||1
"T280824"||4|||||||1
"T280825"||5|2|||2|||
