"42465"|"X207-2FY"|808.00|350.00
"42465"|"X207-3"|569.00|350.00
"42465"|"X207-3FY"|863.00|350.00
"42465"|"X207-4"|592.00|350.00
"42465"|"X207-4FY"|812.00|350.00
"42465"|"X207-5"|549.00|350.00
"42465"|"X207-5Y"|792.00|350.00
"42465"|"X207-6"|549.00|350.00
"42465"|"X207-6FY"|820.00|350.00
"42465"|"X207-7"|549.00|350.00
"42465"|"X207-7FY"|820.00|350.00
"42465"|"X207-8"|549.00|350.00
"42465"|"X207-9"|569.00|350.00
"42465"|"X208-1"|592.00|350.00
"42465"|"X208-10"|635.00|350.00
"42465"|"X208-11"|667.00|350.00
"42465"|"X208-12"|745.00|350.00
"42465"|"X208-13"|635.00|350.00
"42465"|"X208-2"|612.00|350.00
"42465"|"X208-3"|612.00|350.00
"42465"|"X208-4"|612.00|350.00
"42465"|"X208-5"|612.00|350.00
"42465"|"X208-6"|612.00|350.00
"42465"|"X208-7"|612.00|350.00
"42465"|"X208-8"|925.00|350.00
"42465"|"X208-8A"|902.00|350.00
"42465"|"X208-9"|925.00|350.00
"42465"|"X209-1"|651.00|350.00
"42465"|"X209-2"|651.00|350.00
"42465"|"X209-3"|667.00|350.00
"42465"|"X213-1"|734.00|350.00
"42465"|"X213-2"|734.00|350.00
"42465"|"X215-1"|612.00|350.00
"42465"|"X240"|734.00|350.00
"42465"|"X245-1M"|933.00|385.00
"42465"|"X245-2M"|940.00|350.00
"42465"|"X245M"|940.00|385.00
"42465"|"X250M"|1081.00|385.00
"42465"|"X260"|510.00|350.00
"42465"|"X270"|510.00|350.00
"42465"|"X280"|729.00|350.00
"42465"|"X300-1M"|1120.00|385.00
"42465"|"X300M"|1120.00|385.00
"42465"|"X304"|667.00|350.00
"42465"|"X305"|682.00|350.00
"42465"|"X308-1"|592.00|350.00
"42465"|"X308-3"|612.00|350.00
"42465"|"X309-1"|569.00|350.00
"42465"|"X310-1"|569.00|350.00
"42465"|"X311-1"|588.00|350.00
"42465"|"X311-3"|588.00|350.00
"42465"|"X312-1"|588.00|350.00
"42465"|"X312-10"|726.00|350.00
"42465"|"X312-11M"|816.00|385.00
"42465"|"X312-2"|627.00|350.00
"42465"|"X312-3"|612.00|350.00
"42465"|"X312-5"|608.00|350.00
"42465"|"X312-6M"|714.00|385.00
"42465"|"X312-6M1"|734.00|385.00
"42465"|"X312-7"|592.00|350.00
"42465"|"X312-8"|694.00|350.00
"42465"|"X312-9M"|754.00|385.00
"42465"|"X313-1"|808.00|350.00
"42465"|"X313-10"|808.00|350.00
"42465"|"X313-11"|745.00|400.00
"42465"|"X313-12M"|872.00|435.00
"42465"|"X313-13M"|859.00|435.00
"42465"|"X313-14"|726.00|400.00
"42465"|"X313-15"|734.00|400.00
"42465"|"X313-16"|706.00|400.00
"42465"|"X313-17M"|930.00|435.00
